Kind,Name,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting
File,"TipoProcedimentoServiceTest.java",1,4,1,1
File,"Token.java",2,13,7,2
File,"TokenRepository.java",0,0,0,0
File,"TokenService.java",0,0,0,0
File,"TokenServiceImpl.java",1,8,1,2
File,"TokenServiceTest.java",1,5,1,0
File,"Tratamento.java",1,21,7,2
File,"Turma.java",1,30,7,2
File,"TurmaAlunoController.java",2,2,1,1
File,"TurmaController.java",1,7,1,1
File,"TurmaProfessorController.java",1,5,1,1
File,"TurmaRepository.java",0,0,0,0
File,"TurmaService.java",0,0,0,0
File,"TurmaServiceImpl.java",2,28,1,2
File,"TurmaServiceTest.java",1,18,1,1
File,"UserDetailsService.java",2,2,1,1
File,"Usuario.java",1,34,7,2
File,"UsuarioController.java",1,8,1,1
File,"UsuarioRepository.java",0,0,0,0
File,"UsuarioService.java",0,0,0,0
File,"UsuarioServiceImpl.java",1,8,1,1
File,"UsuarioServiceTest.java",1,8,1,1
Package,"ufc",0,0,0,0
Package,"ufc.npi",0,0,0,0
Package,"ufc.npi.prontuario",1,3,1,0
Public Class,"ufc.npi.prontuario.ProntuarioApplication",1,1,1,0
Public Static Method,"ufc.npi.prontuario.ProntuarioApplication.main",,1,,0
Public Class,"ufc.npi.prontuario.ProntuarioApplicationTests",1,1,1,0
Public Method,"ufc.npi.prontuario.ProntuarioApplicationTests.contextLoads",,1,,0
Public Class,"ufc.npi.prontuario.ServletInitializer",1,1,1,0
Protected Method,"ufc.npi.prontuario.ServletInitializer.configure",,1,,0
Package,"ufc.npi.prontuario.config",1,3,1,0
Public Class,"ufc.npi.prontuario.config.MvcConfig",1,1,1,0
Public Method,"ufc.npi.prontuario.config.MvcConfig.addViewControllers",,1,,0
Public Class,"ufc.npi.prontuario.config.SecurityConfig",1,2,1,0
Protected Method,"ufc.npi.prontuario.config.SecurityConfig.configure",,1,,0
Protected Method,"ufc.npi.prontuario.config.SecurityConfig.configure",,1,,0
Package,"ufc.npi.prontuario.controller",1,184,1,3
Public Class,"ufc.npi.prontuario.controller.AlunoController",1,10,1,1
Public Method,"ufc.npi.prontuario.controller.AlunoController.adicionarAluno",,2,,1
Public Method,"ufc.npi.prontuario.controller.AlunoController.editarAluno",,1,,0
Public Method,"ufc.npi.prontuario.controller.AlunoController.excluirAluno",,2,,1
Public Method,"ufc.npi.prontuario.controller.AlunoController.formularioAdicionarAluno",,1,,0
Public Method,"ufc.npi.prontuario.controller.AlunoController.listarAlunos",,1,,0
Private Method,"ufc.npi.prontuario.controller.AlunoController.salvarOuAtualizarAluno",,2,,1
Public Method,"ufc.npi.prontuario.controller.AlunoController.visualizarDetalhesAluno",,1,,0
Public Class,"ufc.npi.prontuario.controller.AlunoTurmaController",2,6,1,1
Public Method,"ufc.npi.prontuario.controller.AlunoTurmaController.carregarAjudantes",,2,,0
Public Method,"ufc.npi.prontuario.controller.AlunoTurmaController.inscreverAluno",,2,,1
Public Method,"ufc.npi.prontuario.controller.AlunoTurmaController.removerInscricaoDeAluno",,2,,1
Public Class,"ufc.npi.prontuario.controller.AnamneseController",1,14,1,1
Public Method,"ufc.npi.prontuario.controller.AnamneseController.alteraOrdemPerguntaDaAnamnese",,1,,0
Public Method,"ufc.npi.prontuario.controller.AnamneseController.cadastrarAnamnese",,2,,1
Public Method,"ufc.npi.prontuario.controller.AnamneseController.detalhesAnamnese",,2,,1
Public Method,"ufc.npi.prontuario.controller.AnamneseController.excluirAnamnese",,2,,1
Public Method,"ufc.npi.prontuario.controller.AnamneseController.excluirPergunta",,1,,0
Public Method,"ufc.npi.prontuario.controller.AnamneseController.finalizarAnamnese",,1,,0
Public Method,"ufc.npi.prontuario.controller.AnamneseController.formCadastrarAnamnese",,1,,0
Public Method,"ufc.npi.prontuario.controller.AnamneseController.listarAnamneses",,1,,0
Public Method,"ufc.npi.prontuario.controller.AnamneseController.salvarPergunta",,2,,1
Public Method,"ufc.npi.prontuario.controller.AnamneseController.tabelaAnamneses",,1,,0
Public Class,"ufc.npi.prontuario.controller.AtendimentoController",1,13,1,1
Public Method,"ufc.npi.prontuario.controller.AtendimentoController.avaliarAtendimento",,2,,1
Public Method,"ufc.npi.prontuario.controller.AtendimentoController.cadastrarAtendimento",,2,,1
Public Method,"ufc.npi.prontuario.controller.AtendimentoController.editarAtendimento",,2,,1
Public Method,"ufc.npi.prontuario.controller.AtendimentoController.finalizarAtendimento",,2,,1
Public Method,"ufc.npi.prontuario.controller.AtendimentoController.getDetalhesAtendimento",,2,,1
Public Method,"ufc.npi.prontuario.controller.AtendimentoController.removerAtendimento",,2,,1
Public Method,"ufc.npi.prontuario.controller.AtendimentoController.validarAtendimento",,1,,0
Public Class,"ufc.npi.prontuario.controller.AtendimentoPatologiaController",1,1,1,0
Public Method,"ufc.npi.prontuario.controller.AtendimentoPatologiaController.removerPatologia",,1,,0
Public Class,"ufc.npi.prontuario.controller.AtendimentoProcedimentoController",1,1,1,0
Public Method,"ufc.npi.prontuario.controller.AtendimentoProcedimentoController.removerProcedimento",,1,,0
Public Class,"ufc.npi.prontuario.controller.AvaliacaoController",1,13,1,1
Public Method,"ufc.npi.prontuario.controller.AvaliacaoController.adicionarCriterio",,2,,1
Public Method,"ufc.npi.prontuario.controller.AvaliacaoController.ativarDesativarAvaliacao",,2,,1
Public Method,"ufc.npi.prontuario.controller.AvaliacaoController.cadastrarAvaliacao",,1,,0
Public Method,"ufc.npi.prontuario.controller.AvaliacaoController.deleteItemAvaliacao",,1,,0
Public Method,"ufc.npi.prontuario.controller.AvaliacaoController.excluirAvaliacao",,2,,1
Public Method,"ufc.npi.prontuario.controller.AvaliacaoController.finalizarAvaliacao",,1,,0
Public Method,"ufc.npi.prontuario.controller.AvaliacaoController.formularioCadastrarValidacao",,1,,0
Public Method,"ufc.npi.prontuario.controller.AvaliacaoController.listarAvaliacoes",,1,,0
Public Method,"ufc.npi.prontuario.controller.AvaliacaoController.visualizarDetalhes",,2,,1
Public Class,"ufc.npi.prontuario.controller.DisciplinaController",1,9,1,2
Public Method,"ufc.npi.prontuario.controller.DisciplinaController.adicionarDisciplina",,3,,2
Public Method,"ufc.npi.prontuario.controller.DisciplinaController.detalhesDisciplina",,1,,0
Public Method,"ufc.npi.prontuario.controller.DisciplinaController.excluirDisciplina",,2,,1
Public Method,"ufc.npi.prontuario.controller.DisciplinaController.formularioAdicionarDisciplina",,1,,0
Public Method,"ufc.npi.prontuario.controller.DisciplinaController.formularioEditarDisciplina",,1,,0
Public Method,"ufc.npi.prontuario.controller.DisciplinaController.listagemDisciplina",,1,,0
Public Class,"ufc.npi.prontuario.controller.DocumentoController",1,9,1,2
Public Method,"ufc.npi.prontuario.controller.DocumentoController.deletar",,1,,0
Public Method,"ufc.npi.prontuario.controller.DocumentoController.download",,2,,1
Public Method,"ufc.npi.prontuario.controller.DocumentoController.listarDocumentos",,1,,0
Public Method,"ufc.npi.prontuario.controller.DocumentoController.upload",,3,,2
Public Method,"ufc.npi.prontuario.controller.DocumentoController.visualizar",,2,,1
Public Class,"ufc.npi.prontuario.controller.FormularioAtendimentoController",1,2,1,0
Public Method,"ufc.npi.prontuario.controller.FormularioAtendimentoController.formularioCadastrarAtendimento",,1,,0
Public Method,"ufc.npi.prontuario.controller.FormularioAtendimentoController.formularioEditarAtendimento",,1,,0
Public Class,"ufc.npi.prontuario.controller.OdontogramaController",1,7,1,1
Public Method,"ufc.npi.prontuario.controller.OdontogramaController.adicionarProcedimento",,1,,0
Public Method,"ufc.npi.prontuario.controller.OdontogramaController.buscaProcedimento",,1,,0
Public Method,"ufc.npi.prontuario.controller.OdontogramaController.buscarProcedimentos",,1,,0
Public Method,"ufc.npi.prontuario.controller.OdontogramaController.buscarProcedimentosExistentes",,1,,0
Public Method,"ufc.npi.prontuario.controller.OdontogramaController.novoOdontogramaPatologias",,2,,1
Public Method,"ufc.npi.prontuario.controller.OdontogramaController.tableProcedimentos",,1,,0
Public Class,"ufc.npi.prontuario.controller.OdontogramaPatologiasController",1,9,1,1
Public Method,"ufc.npi.prontuario.controller.OdontogramaPatologiasController.DefinirResponsavelTratamento",,1,,0
Public Method,"ufc.npi.prontuario.controller.OdontogramaPatologiasController.adicionarPatologia",,1,,0
Public Method,"ufc.npi.prontuario.controller.OdontogramaPatologiasController.buscaPatologia",,1,,0
Public Method,"ufc.npi.prontuario.controller.OdontogramaPatologiasController.buscaPatologiasProcedimento",,1,,0
Public Method,"ufc.npi.prontuario.controller.OdontogramaPatologiasController.buscarPatologia",,1,,0
Public Method,"ufc.npi.prontuario.controller.OdontogramaPatologiasController.buscarPatologias",,1,,0
Public Method,"ufc.npi.prontuario.controller.OdontogramaPatologiasController.tablePatologias",,2,,1
Public Method,"ufc.npi.prontuario.controller.OdontogramaPatologiasController.tratarPatologia",,1,,0
Public Class,"ufc.npi.prontuario.controller.PacienteAnamneseController",1,4,1,0
Public Method,"ufc.npi.prontuario.controller.PacienteAnamneseController.listarAnamneses",,1,,0
Public Method,"ufc.npi.prontuario.controller.PacienteAnamneseController.realizarAnamnese",,1,,0
Public Method,"ufc.npi.prontuario.controller.PacienteAnamneseController.realizarAnamneseForm",,1,,0
Public Method,"ufc.npi.prontuario.controller.PacienteAnamneseController.visualizarDetalhesAnamnese",,1,,0
Public Class,"ufc.npi.prontuario.controller.PacienteAtendimentoController",1,2,1,0
Public Method,"ufc.npi.prontuario.controller.PacienteAtendimentoController.getTableAtendimentos",,1,,0
Public Method,"ufc.npi.prontuario.controller.PacienteAtendimentoController.listarAtendimentos",,1,,0
Public Class,"ufc.npi.prontuario.controller.PacienteController",1,2,1,0
Public Method,"ufc.npi.prontuario.controller.PacienteController.paginaCadastro",,1,,0
Public Method,"ufc.npi.prontuario.controller.PacienteController.visualizarDetalhes",,1,,0
Public Class,"ufc.npi.prontuario.controller.PacienteFormularioController",1,2,1,0
Public Method,"ufc.npi.prontuario.controller.PacienteFormularioController.editarPaciente",,1,,0
Public Method,"ufc.npi.prontuario.controller.PacienteFormularioController.paginaCadastroPaciente",,1,,0
Public Class,"ufc.npi.prontuario.controller.PacienteListController",1,6,1,1
Private Method,"ufc.npi.prontuario.controller.PacienteListController.addErrorModel",,1,,0
Public Method,"ufc.npi.prontuario.controller.PacienteListController.cadastrarPaciente",,2,,1
Public Method,"ufc.npi.prontuario.controller.PacienteListController.editarPaciente",,2,,1
Public Method,"ufc.npi.prontuario.controller.PacienteListController.listagemPacientes",,1,,0
Public Class,"ufc.npi.prontuario.controller.PacienteTratamentoController",1,6,1,1
Public Method,"ufc.npi.prontuario.controller.PacienteTratamentoController.cadastrar",,1,,0
Public Method,"ufc.npi.prontuario.controller.PacienteTratamentoController.excluir",,2,,1
Public Method,"ufc.npi.prontuario.controller.PacienteTratamentoController.listarTratamentos",,1,,0
Private Method,"ufc.npi.prontuario.controller.PacienteTratamentoController.salvarPlanoTratamento",,2,,1
Public Class,"ufc.npi.prontuario.controller.PlanoTratamentoController",1,7,1,1
Public Method,"ufc.npi.prontuario.controller.PlanoTratamentoController.cadastrar",,2,,1
Public Method,"ufc.npi.prontuario.controller.PlanoTratamentoController.editar",,2,,1
Public Method,"ufc.npi.prontuario.controller.PlanoTratamentoController.finalizar",,1,,0
Public Method,"ufc.npi.prontuario.controller.PlanoTratamentoController.parcientesAguardandoTratamento",,1,,0
Public Method,"ufc.npi.prontuario.controller.PlanoTratamentoController.visualizarParcientesAguardandoTratamento",,1,,0
Public Class,"ufc.npi.prontuario.controller.ProfessorController",2,8,1,2
Public Method,"ufc.npi.prontuario.controller.ProfessorController.adicionarProfessor",,5,,2
Public Method,"ufc.npi.prontuario.controller.ProfessorController.excluirServidor",,2,,1
Public Method,"ufc.npi.prontuario.controller.ProfessorController.listarProfessores",,1,,0
Public Class,"ufc.npi.prontuario.controller.ProfessorFormularioController",1,4,1,1
Public Method,"ufc.npi.prontuario.controller.ProfessorFormularioController.detalhes",,2,,1
Public Method,"ufc.npi.prontuario.controller.ProfessorFormularioController.formAdicionarProfessor",,1,,0
Public Method,"ufc.npi.prontuario.controller.ProfessorFormularioController.formEditarProfessor",,1,,0
Public Class,"ufc.npi.prontuario.controller.ProfessorTurmaController",1,7,1,1
Public Method,"ufc.npi.prontuario.controller.ProfessorTurmaController.adicionarProfessor",,2,,1
Public Method,"ufc.npi.prontuario.controller.ProfessorTurmaController.carregarProfessores",,2,,0
Public Method,"ufc.npi.prontuario.controller.ProfessorTurmaController.formularioAdicionarTurma",,1,,0
Public Method,"ufc.npi.prontuario.controller.ProfessorTurmaController.removerProfessor",,2,,1
Public Class,"ufc.npi.prontuario.controller.ProntuarioController",1,2,1,0
Public Method,"ufc.npi.prontuario.controller.ProntuarioController.getIndex",,1,,0
Public Method,"ufc.npi.prontuario.controller.ProntuarioController.getSobre",,1,,0
Public Class,"ufc.npi.prontuario.controller.TipoPatologiaController",1,9,1,3
Public Method,"ufc.npi.prontuario.controller.TipoPatologiaController.adicionarTipoPatologia",,4,,3
Public Method,"ufc.npi.prontuario.controller.TipoPatologiaController.adicionarTipoPatologiaFormulario",,1,,0
Public Method,"ufc.npi.prontuario.controller.TipoPatologiaController.excluirTipoPatologia",,2,,1
Public Method,"ufc.npi.prontuario.controller.TipoPatologiaController.formularioEditarTipoPatologia",,1,,0
Public Method,"ufc.npi.prontuario.controller.TipoPatologiaController.listarTiposPatologia",,1,,0
Public Class,"ufc.npi.prontuario.controller.TipoProcedimentoController",1,9,1,3
Public Method,"ufc.npi.prontuario.controller.TipoProcedimentoController.adicionarTipoProcedimento",,4,,3
Public Method,"ufc.npi.prontuario.controller.TipoProcedimentoController.editarTipoProcedimento",,1,,0
Public Method,"ufc.npi.prontuario.controller.TipoProcedimentoController.excluirTipoProcedimento",,2,,1
Public Method,"ufc.npi.prontuario.controller.TipoProcedimentoController.formularioAdicionarTipoProcedimento",,1,,0
Public Method,"ufc.npi.prontuario.controller.TipoProcedimentoController.listarTiposProcedimento",,1,,0
Public Class,"ufc.npi.prontuario.controller.TurmaAlunoController",2,2,1,1
Public Method,"ufc.npi.prontuario.controller.TurmaAlunoController.inscreverAluno",,2,,1
Public Class,"ufc.npi.prontuario.controller.TurmaController",1,7,1,1
Public Method,"ufc.npi.prontuario.controller.TurmaController.adicionarTurma",,3,,1
Public Method,"ufc.npi.prontuario.controller.TurmaController.alterarStatus",,1,,0
Public Method,"ufc.npi.prontuario.controller.TurmaController.excluirTurma",,2,,1
Public Method,"ufc.npi.prontuario.controller.TurmaController.listarTurmas",,1,,0
Public Class,"ufc.npi.prontuario.controller.TurmaProfessorController",1,5,1,1
Private Method,"ufc.npi.prontuario.controller.TurmaProfessorController.addMensagemSucesso",,1,,0
Public Method,"ufc.npi.prontuario.controller.TurmaProfessorController.adicionarProfessor",,2,,1
Private Method,"ufc.npi.prontuario.controller.TurmaProfessorController.existProfessoresTurma",,1,,0
Public Method,"ufc.npi.prontuario.controller.TurmaProfessorController.visualizarDetalhes",,1,,0
Public Class,"ufc.npi.prontuario.controller.UsuarioController",1,8,1,1
Public Method,"ufc.npi.prontuario.controller.UsuarioController.alteracaoSenha",,1,,0
Public Method,"ufc.npi.prontuario.controller.UsuarioController.alteracaoSenhaForm",,1,,0
Public Method,"ufc.npi.prontuario.controller.UsuarioController.alterarDados",,1,,0
Public Method,"ufc.npi.prontuario.controller.UsuarioController.alterarSenha",,2,,1
Public Method,"ufc.npi.prontuario.controller.UsuarioController.detalhesUsuario",,1,,0
Public Method,"ufc.npi.prontuario.controller.UsuarioController.formRecuperacaoSenha",,1,,0
Public Method,"ufc.npi.prontuario.controller.UsuarioController.recuperacaoSenha",,1,,0
Package,"ufc.npi.prontuario.exception",1,2,1,0
Public Class,"ufc.npi.prontuario.exception.ProntuarioException",1,2,1,0
Public Constructor,"ufc.npi.prontuario.exception.ProntuarioException.ProntuarioException",,1,,0
Public Method,"ufc.npi.prontuario.exception.ProntuarioException.getMessage",,1,,0
Package,"ufc.npi.prontuario.model",1,670,10,2
Public Class,"ufc.npi.prontuario.model.Aluno",1,10,1,0
Public Method,"ufc.npi.prontuario.model.Aluno.getAlunoTurmas",,1,,0
Public Method,"ufc.npi.prontuario.model.Aluno.getAnoIngresso",,1,,0
Public Method,"ufc.npi.prontuario.model.Aluno.getAtendimentos",,1,,0
Public Method,"ufc.npi.prontuario.model.Aluno.getPacienteAnamneses",,1,,0
Public Method,"ufc.npi.prontuario.model.Aluno.getSemestreIngresso",,1,,0
Public Method,"ufc.npi.prontuario.model.Aluno.setAlunoTurmas",,1,,0
Public Method,"ufc.npi.prontuario.model.Aluno.setAnoIngresso",,1,,0
Public Method,"ufc.npi.prontuario.model.Aluno.setAtendimentos",,1,,0
Public Method,"ufc.npi.prontuario.model.Aluno.setPacienteAnamneses",,1,,0
Public Method,"ufc.npi.prontuario.model.Aluno.setSemestreIngresso",,1,,0
Public Class,"ufc.npi.prontuario.model.AlunoTurma",2,19,10,2
Public Method,"ufc.npi.prontuario.model.AlunoTurma.equals",,10,,2
Public Method,"ufc.npi.prontuario.model.AlunoTurma.getAluno",,1,,0
Public Method,"ufc.npi.prontuario.model.AlunoTurma.getAtivo",,1,,0
Public Method,"ufc.npi.prontuario.model.AlunoTurma.getTurma",,1,,0
Public Method,"ufc.npi.prontuario.model.AlunoTurma.hashCode",,3,,0
Public Method,"ufc.npi.prontuario.model.AlunoTurma.setAluno",,1,,0
Public Method,"ufc.npi.prontuario.model.AlunoTurma.setAtivo",,1,,0
Public Method,"ufc.npi.prontuario.model.AlunoTurma.setTurma",,1,,0
Public Class,"ufc.npi.prontuario.model.AlunoTurmaId",2,17,10,2
Public Method,"ufc.npi.prontuario.model.AlunoTurmaId.equals",,10,,2
Public Method,"ufc.npi.prontuario.model.AlunoTurmaId.getAluno",,1,,0
Public Method,"ufc.npi.prontuario.model.AlunoTurmaId.getTurma",,1,,0
Public Method,"ufc.npi.prontuario.model.AlunoTurmaId.hashCode",,3,,0
Public Method,"ufc.npi.prontuario.model.AlunoTurmaId.setAluno",,1,,0
Public Method,"ufc.npi.prontuario.model.AlunoTurmaId.setTurma",,1,,0
Public Class,"ufc.npi.prontuario.model.Anamnese",1,24,7,2
Public Enum Type,"ufc.npi.prontuario.model.Anamnese.Status",1,4,1,0
Private Constructor,"ufc.npi.prontuario.model.Anamnese.Status.Status",,1,,0
Public Method,"ufc.npi.prontuario.model.Anamnese.Status.getDescricao",,1,,0
Public Method,"ufc.npi.prontuario.model.Anamnese.Status.valueOf",,1,,0
Public Method,"ufc.npi.prontuario.model.Anamnese.Status.values",,1,,0
Public Method,"ufc.npi.prontuario.model.Anamnese.addPergunta",,2,,1
Public Method,"ufc.npi.prontuario.model.Anamnese.equals",,7,,2
Public Method,"ufc.npi.prontuario.model.Anamnese.findNameInRepository",,1,,0
Public Method,"ufc.npi.prontuario.model.Anamnese.getDescricao",,1,,0
Public Method,"ufc.npi.prontuario.model.Anamnese.getId",,1,,0
Public Method,"ufc.npi.prontuario.model.Anamnese.getNome",,1,,0
Public Method,"ufc.npi.prontuario.model.Anamnese.getPerguntas",,2,,1
Public Method,"ufc.npi.prontuario.model.Anamnese.getStatus",,1,,0
Public Method,"ufc.npi.prontuario.model.Anamnese.hashCode",,2,,0
Public Method,"ufc.npi.prontuario.model.Anamnese.setDescricao",,1,,0
Public Method,"ufc.npi.prontuario.model.Anamnese.setId",,1,,0
Public Method,"ufc.npi.prontuario.model.Anamnese.setNome",,1,,0
Public Method,"ufc.npi.prontuario.model.Anamnese.setPerguntas",,1,,0
Public Method,"ufc.npi.prontuario.model.Anamnese.setStatus",,1,,0
Public Method,"ufc.npi.prontuario.model.Anamnese.verificarNomeDescricao",,1,,0
Public Class,"ufc.npi.prontuario.model.Atendimento",1,36,7,2
Public Enum Type,"ufc.npi.prontuario.model.Atendimento.Status",1,4,1,0
Private Constructor,"ufc.npi.prontuario.model.Atendimento.Status.Status",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.Status.getDescricao",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.Status.valueOf",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.Status.values",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.ajudanteIgualEmail",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.compararEmailResponsavel",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.compareTo",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.equals",,7,,2
Public Method,"ufc.npi.prontuario.model.Atendimento.getAjudante",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.getAvaliacao",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.getData",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.getId",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.getPaciente",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.getPatologias",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.getProcedimentos",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.getProfessor",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.getResponsavel",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.getStatus",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.getTurma",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.hashCode",,2,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.isValidado",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.isVisivel",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.setAjudante",,1,,0
Public Method,"ufc.npi.prontuario.model.Atendimento.setAvaliacao",,1,,0
